'Name of school','URL','Street','Address','ZIP-Code','City','Region','Country','Country-Code','Latitude','Longitude'
'De Hazelaar','www.steinerschooldehazelaar.be','Lange Lozanastraat 117','Antwerp,  2018',2018,'Antwerp','Flemish Region','Belgium','BE','51.20283','4.40561'
'De Kleine Wereldburger','www.dekleinewereldburger.be','Generaal De Wetstraat 16','Borgerhout,  2140',2140,'Antwerp','Flemish Region','Belgium','BE','51.21656','4.43956'
'De Sterrendaalders Lier','www.steinerschoollier.be','Mallekotstraat 43','Lier,  2500',2500,'Lier','Flemish Region','Belgium','BE','51.14637','4.56574'
'De Teunisbloem','www.deteunisbloem.be','Elyseese Velden 8','Gent,  9000',9000,'Ghent','Flemish Region','Belgium','BE','51.06143','3.7051'
'Guido Gezelleschool','www.steinerschoolbrugge.be','Astridlaan 86','Brugge,  8310',8310,'Bruges','Flemish Region','Belgium','BE','51.1985699','3.24952'
'Het Speelschooltje','www.steinerschoolantwerpen.be','Transvaalstraat 21','Berchem,  2600',2600,'Antwerp','Flemish Region','Belgium','BE','51.20338','4.43064'
'L''Enfance de l''Art','www.lenfancedelart.org','Rue des Croisiers 42B','Tournai,  7500',7500,'Tournai','Walloon Region','Belgium','BE','50.60616','3.40196'
'Landelijke Steinerschool Munte','www.landelijke-steinerschool-munte.be','Munteplein 5 A','Munte/Merelbeke,  9820',9820,'Merelbeke','Flemish Region','Belgium','BE','50.9447199','3.74498'
'Le Jardin De Physalis','www.jardindephysalis.be','59 rue Fraichaux','Mont-Godinne,  5530',5530,'Yvoir','Walloon Region','Belgium','BE','50.35672','4.91341'
'Le Jardin des deux pays','www.ecole-maternelle.be','Rue de la Sibérie 44','Bois-de-Villers,  5170',5170,'Profondeville','Walloon Region','Belgium','BE','50.38013','4.84279'
'Libre Ecole Rudolf Steiner "La Ferme Blanche"','www.ecole-steiner.be','Rue de la Quenique 18','Court Saint Etienne,  1490',1490,'Court-Saint-Étienne','Walloon Region','Belgium','BE','50.64773','4.58211'
'Lohrangrin Rudolf Steiner School','www.lohrangrin.be','Boomsesteenweg 94','Wilrijk,  2610',2610,'Antwerp','Flemish Region','Belgium','BE','51.17893','4.38852'
'Michaëlschool','www.steinerschoolturnhout.be','Hovenierstraat 53 A','Turnhout,  2300',2300,'Turnhout','Flemish Region','Belgium','BE','51.32902','4.95837'
'Nationale Vereniging voor kleuterscholen op basis van Rudolf Steinerpedagogie in Belgie','www.steinerscholen.be','Gitschotellei 188','Antwerpen,  2140',2140,'Antwerp','Flemish Region','Belgium','BE','51.2007','4.4443'
'Rudolf Steinerschool','www.steinerschoolbrussel.be','Sint Janskruidlaan 14','Anderlecht-Brussel,  1070',1070,'Anderlecht','Brussels Region','Belgium','BE','50.8135','4.28385'
'Rudolf Steinerschool Kempen (Novalisschool)','www.steinerschoolnovalis.be','Poiel 37','Geel,  2440',2440,'Geel','Flemish Region','Belgium','BE','51.15743','4.97295'
'Rudolf Steinerschool Michaeli','www.steinerschoolaalst.be','Affligemdreef 71','Aalst,  9300',9300,'Aalst','Flemish Region','Belgium','BE','50.93405','4.06452'
'Steinerschool Antwerpen','www.steinerschoolantwerpen.be','Volksstraat 40','Antwerp,  2000',2000,'Antwerp','Flemish Region','Belgium','BE','51.21105','4.39537'
'Steinerschool Ieper Koningsdale','www.konigsdale.be','Rijselsestraat 45','Ieper,  8900',8900,'Ieper','Flemish Region','Belgium','BE','50.8342','2.88769'
'Steinerschool Leuven de Zonnewijzer','www.steinerschoolleuven.be','Privaatweg 7','Leuven-Wijgmaal,  3018',3018,'Leuven','Flemish Region','Belgium','BE','50.92457','4.70301'
'Vrije Rudolf Steinerschool Aalst en Tervuren (KrisKristoffel Steinerschool)','www.steinerschooltervuren.be','Pater Duperrieuxlaan 29','Tervuren,  3080',3080,'Tervuren','Flemish Region','Belgium','BE','50.83336','4.53071'
'Vrije Rudolf Steinerschool Vlaanderen','www.steinerschoolgent.be','Kasteellaan 54','Gent,  9000',9000,'Ghent','Flemish Region','Belgium','BE','51.04933','3.73958'
'Yggdrasil "De Wingerd"','www.steinerschooldewingerd.be','Zwemdoklei 3','Brasschaat,  2930',2930,'Brasschaat','Flemish Region','Belgium','BE','51.29803','4.44583'
'Acalanto Jardim de Infância','www.acalantojardimdeinfancia.com.br','Lote 2C da Seção G, Sítio Figueira, HBR 020, s/n','Holambra, São Paulo 13825-000','13825-000','Holambra','SP','Brazil','BR','-22.6199277','-47.0475291'
'Aitiara Escola Waldorf de Educacao Infantil, Fundamental e Medio','www.aitiara.org.br','Rodovia Gastão Dal Farra, km 4, s/n','Botucatu, São Paulo 18603-970','18605-525','Botucatu','SP','Brazil','BR','-22.9124899','-48.44663'
'Centro de Formação de Profesores Waldorf','www.ewrs.com.br','Rua Job Lane 900, Alto da Boa Vista','São Paulo, São Paulo 04639-001','04639-001','Sao Paulo','SP','Brazil','BR','-23.63803',-46684
'Centro de Recreação Infantil Rumo do Girassol','www.rumodogirassol.com.br','Rua Dr. Saboia de Medeiros, 216','São Paulo, São Paulo 04120-110','04120-110','Sao Paulo','SP','Brazil','BR','-23.59686','-46.62826'
